frame,has_traffic_light,has_pedestrian,has_vehicle,px_traffic_light,px_pedestrian,px_vehicle
000630,True,False,True,138,0,132
000640,True,False,False,464,0,38
000650,True,False,False,449,0,33
000660,True,False,False,449,0,33
000670,True,False,False,449,0,33
000680,True,False,False,449,0,33
000690,True,False,False,449,0,33
000700,True,False,True,449,0,40
000710,True,False,True,449,0,545
000720,True,False,True,449,0,798
000730,True,False,True,449,0,1533
000740,True,False,True,449,0,2439
000750,True,False,True,449,0,2114
000760,True,False,True,449,0,1890
000770,True,False,True,449,0,2955
000780,True,False,True,429,0,15049
000790,True,False,False,449,0,0
000800,True,False,False,449,0,0
000810,True,False,False,449,0,0
000820,True,False,False,449,0,0
000830,True,False,False,449,0,0
000840,True,False,False,449,0,0
000850,True,False,False,483,0,0
000860,True,False,False,1705,0,0
000870,True,False,False,60,0,0
000880,True,False,False,142,0,0
000890,True,False,False,157,0,0
000900,False,False,False,0,0,0
000910,False,False,False,0,0,0
000920,False,False,False,0,0,0
000930,False,False,False,0,0,0
000940,False,False,False,0,0,0
000950,False,False,True,5,0,45
000960,False,False,True,15,2,61
000970,False,False,True,23,2,93
000980,False,False,True,17,6,127
000990,False,False,True,26,4,96
001000,False,False,True,22,8,183
001010,False,False,True,32,10,291
001020,True,False,True,49,0,490
001030,True,False,True,40,0,1398
001040,True,False,True,65,0,2188
001050,True,False,True,85,0,3818
001060,True,False,True,135,0,9308
001070,True,False,True,135,6,12863
001080,True,False,True,135,5,9049
001090,True,False,True,135,6,9049
001100,True,False,True,135,5,9124
001110,True,False,True,135,0,9079
001120,True,False,True,135,0,9075
001130,True,False,True,135,5,9075
001140,True,False,True,135,5,9075
001150,True,False,True,135,5,9076
001160,True,False,True,135,5,5099
001170,True,False,True,182,5,2453
001180,True,False,True,592,5,2577
001190,True,False,True,74,6,2192
001200,True,False,True,148,9,1045
001210,True,False,True,47,9,654
001220,True,False,True,374,6,628
001230,False,False,True,0,22,609
001240,False,False,True,0,33,590
001250,False,True,True,0,56,575
001260,False,True,True,0,124,567
001270,False,True,True,0,475,604
001280,False,False,True,0,0,685
001290,False,False,True,0,0,1375
001300,False,False,True,0,0,204
001310,False,False,True,0,0,790
001320,False,False,True,0,0,453
001330,False,False,True,0,0,335
001340,False,False,True,0,0,202
001350,False,False,True,4,0,150
001360,False,False,True,0,0,128
001370,False,False,True,0,0,134
001380,False,False,True,0,0,140
001390,False,False,True,0,0,159
001400,False,False,True,0,0,242
001410,False,False,True,0,0,333
001420,False,False,True,0,0,536
001430,False,False,True,0,0,674
001440,False,False,True,0,0,838
001450,False,False,True,0,0,2536
001460,False,False,True,0,0,326
001470,False,False,True,19,0,1300
001480,False,False,True,17,26,472
001490,False,True,True,24,40,504
001500,False,True,True,30,50,516
001510,True,True,True,40,79,714
001520,True,True,True,66,71,1642
001530,True,True,True,101,138,2842
001540,True,True,True,142,179,8448
001550,True,True,True,143,217,11720
001560,True,True,True,143,206,11765
001570,True,True,True,143,206,11840
001580,True,True,True,143,197,11852
001590,True,True,True,143,158,11825
001600,True,True,True,143,85,11852
001610,True,True,True,143,224,8895
001620,True,True,True,162,200,2947
001630,True,True,True,434,458,2335
001640,True,True,True,1226,617,1705
001650,True,True,True,103,56,2914
001660,True,True,False,180,70,0
001670,True,True,False,250,115,0
001680,False,False,True,23,13,2025
001690,False,False,True,28,22,4577
001700,True,False,True,41,27,13106
001710,True,False,True,45,31,10129
001720,True,True,True,66,41,6385
001730,True,True,True,94,52,6458
001740,True,True,True,123,73,13748
001750,True,True,True,121,88,16307
001760,True,True,True,121,100,17990
001770,True,True,True,121,116,15531
001780,True,True,True,121,135,22028
001790,True,True,True,121,154,22581
001800,True,True,True,121,198,21971
001810,True,True,True,121,204,22254
001820,True,True,True,121,239,24183
001830,True,True,True,121,291,12888
001840,True,True,True,121,336,13951
001850,True,True,True,121,418,18223
001860,True,True,True,121,522,11722
001870,True,True,True,121,633,11728
001880,True,True,True,121,780,11720
001890,True,True,True,121,1096,11719
001900,True,True,True,121,76,11718
001910,True,False,True,121,6,10314
001920,True,False,True,123,4,3086
001930,True,False,True,230,2,2175
001940,True,False,True,654,2,2497
001950,False,False,True,21,7,2514
001960,False,False,True,24,4,3772
001970,True,False,True,48,11,396
001980,True,False,True,371,12,1036
001990,False,False,True,10,14,8656
002000,False,False,True,12,27,43
002010,False,False,True,11,39,55
002020,False,True,True,27,61,69
002030,False,True,True,36,133,85
002040,True,True,True,73,289,109
002050,True,True,True,207,1028,140
002060,True,True,True,351,180,154
002070,True,True,True,351,1438,162
002080,True,True,True,351,1066,165
002090,True,True,True,351,976,186
002100,True,True,True,351,872,236
002110,True,True,True,351,854,279
002120,True,True,True,351,886,129
002130,True,True,True,351,1020,129
002140,True,True,True,351,1121,129
002150,True,True,True,351,1373,129
002160,True,True,True,351,1658,129
002170,True,True,True,351,1794,129
002180,True,True,True,351,201,92
002190,True,True,True,351,191,139
002200,True,True,True,351,176,155
002210,True,True,True,351,175,154
002220,True,True,True,351,154,154
002230,True,True,True,351,132,150
002240,True,True,True,351,123,477
002250,True,True,True,351,108,461
002260,True,True,True,351,104,564
002270,True,True,True,351,92,4631
002280,True,True,True,351,84,103
002290,True,True,True,351,74,98
002300,True,True,True,351,75,100
002310,True,True,True,351,50,103
002320,True,True,True,351,42,73
002330,True,True,True,351,40,86
002340,True,False,True,351,37,41
002350,True,True,False,351,48,29
002360,True,True,True,378,45,44
002370,True,True,True,1372,101,60
002380,False,True,True,35,170,72
002390,True,True,True,48,224,88
002400,True,True,True,45,212,127
002410,True,True,True,76,117,161
002420,True,True,True,211,238,165
002430,True,True,True,51,1334,587
002440,True,False,True,105,0,13154
002450,True,False,False,281,0,0
002460,True,False,False,411,0,0
002470,True,False,False,411,0,0
002480,True,False,False,411,0,0
002490,True,False,False,411,0,0
002500,True,False,False,411,0,0
002510,True,False,False,411,0,0
002520,True,False,False,411,0,0
002530,True,False,False,411,0,0
002540,True,False,False,411,0,0
002550,True,False,False,411,0,0
002560,True,False,False,411,0,0
002570,True,False,False,411,0,0
002580,True,False,False,411,0,0
002590,True,False,False,411,0,0
002600,True,False,False,411,0,0
002610,True,False,False,411,0,0
002620,True,False,False,411,0,0
002630,True,True,False,411,343,0
002640,True,True,False,411,279,0
002650,True,True,False,411,1944,0
002660,True,True,False,413,1423,0
002670,True,True,False,707,2497,0
002680,True,True,False,78,340,0
002690,True,False,False,142,0,0
002700,False,True,False,0,618,0
002710,False,True,False,0,437,0
002720,False,True,True,0,757,412
002730,False,True,True,0,1014,705
002740,False,True,True,0,1326,949
002750,False,False,True,4,0,955
002760,False,False,True,2,0,1836
002770,False,False,True,6,0,12564
002780,False,False,False,10,0,3
002790,False,False,False,3,0,1
002800,False,False,False,12,0,7
002810,False,False,False,4,0,9
002820,False,False,False,8,0,18
002830,False,False,False,0,0,20
002840,False,False,False,0,0,0
002850,False,False,False,0,0,0
002860,False,False,False,0,0,0
002870,False,False,False,0,0,0
002880,False,False,True,25,0,84
002890,False,False,True,37,0,47
002900,True,False,True,84,0,68
002910,True,False,True,215,0,96
002920,True,False,True,346,0,111
002930,True,False,True,339,0,119
002940,True,False,True,339,0,115
002950,True,False,True,339,0,115
002960,True,False,True,339,0,115
002970,True,False,True,339,0,119
002980,True,False,True,339,0,144
002990,True,False,True,339,0,181
003000,True,False,True,339,0,308
003010,True,False,True,339,0,667
003020,True,False,True,339,0,736
003030,True,False,True,339,0,304
003040,True,False,False,339,0,0
003050,True,False,False,339,0,0
003060,True,False,False,339,0,0
003070,True,False,False,339,0,0
003080,True,False,False,339,0,0
003090,True,False,False,339,0,17
003100,True,False,False,339,0,8
003110,True,False,False,339,0,9
003120,True,False,False,339,0,10
003130,True,False,True,339,0,101
003140,True,False,True,339,0,905
003150,True,False,True,339,0,1539
003160,True,False,True,339,0,1559
003170,True,False,True,339,0,1202
003180,True,False,True,339,0,376
003190,True,False,True,339,0,220
003200,True,False,True,339,0,174
003210,True,False,True,339,0,172
003220,True,False,True,339,0,188
003230,True,False,True,339,0,165
003240,True,False,True,339,0,163
003250,True,False,True,339,0,154
003260,True,False,True,339,0,150
003270,True,False,True,412,0,160
003280,False,False,True,16,0,201
003290,False,False,True,22,0,280
003300,False,False,True,24,0,392
003310,False,False,True,21,2,79
003320,False,False,True,27,3,69
003330,True,False,True,51,2,81
003340,True,False,True,62,14,59
003350,True,False,True,133,3,123
003360,True,False,True,356,8,70
003370,True,False,True,370,7,68
003380,True,False,True,370,12,64
003390,True,False,True,370,9,62
003400,True,False,True,370,8,62
003410,True,False,True,370,10,62
003420,True,False,True,401,13,61
003430,True,False,True,3613,12,76
003440,True,False,True,140,5,111
003450,True,False,True,196,1,226
003460,True,False,False,227,23,39
003470,False,False,False,13,30,35
003480,False,True,True,18,74,46
003490,False,True,True,16,282,46
003500,False,True,True,21,1143,62
003510,False,False,True,30,0,113
003520,True,False,True,49,0,325
003530,True,False,True,69,0,1115
003540,True,False,True,117,0,1582
003550,True,False,True,117,0,2476
003560,True,False,True,116,6,12675
003570,True,False,True,178,8,2169
003580,True,False,True,235,10,4008
003590,True,False,True,232,12,4307
003600,True,False,True,234,11,4359
003610,True,False,True,234,10,4903
003620,True,False,True,232,9,4721
003630,True,False,True,232,12,9483
003640,True,False,True,234,11,4693
003650,True,False,True,235,13,5322
003660,True,False,True,237,11,11318
003670,True,False,True,236,11,4635
003680,True,False,True,235,15,4409
003690,True,False,True,235,7,4343
003700,True,False,True,235,15,4124
003710,True,False,True,235,17,3915
003720,True,False,True,231,15,3383
003730,True,False,True,268,17,1206
003740,True,False,True,505,19,872
003750,True,False,True,2209,22,937
003760,False,False,True,27,28,956
003770,False,True,True,39,42,1192
003780,True,True,True,83,66,217
003790,False,True,True,13,141,270
003800,False,True,True,22,300,492
003810,False,True,True,17,590,848
003820,False,True,True,30,1290,1240
003830,False,True,True,30,1778,1981
003840,False,True,True,31,3818,8628
003850,False,False,True,33,0,11709
003860,True,False,True,50,0,2288
003870,True,False,True,56,0,5361
003880,True,False,True,84,0,14373
003890,True,False,True,82,0,14423
003900,True,False,True,82,0,14423
003910,True,False,True,82,0,14423
003920,True,False,True,82,0,14423
003930,True,False,True,82,0,14423
003940,True,False,True,82,0,14423
003950,True,False,True,82,0,14423
003960,True,False,True,82,0,14423
003970,True,False,True,82,0,14423
003980,True,False,True,82,0,14423
003990,True,False,True,82,0,14423
004000,True,False,True,82,0,14423
004010,True,False,True,82,0,14423
004020,True,False,True,82,0,14423
004030,True,False,True,82,0,14423
004040,True,False,True,82,0,10429
004050,True,False,True,87,0,3486
004060,True,False,True,176,0,3229
004070,True,False,True,455,0,3351
004080,True,False,True,1912,0,3700
004090,True,False,True,83,0,4958
004100,True,False,True,142,0,8522
004110,False,False,False,0,0,0
004120,False,False,True,25,5,259
004130,False,False,True,31,11,780
004140,True,False,True,58,10,441
004150,True,False,True,66,12,485
004160,True,False,True,64,13,477
004170,True,False,True,64,10,463
004180,True,False,True,85,15,561
004190,True,False,True,166,19,1099
004200,True,False,True,326,22,1375
004210,True,False,True,1853,35,1353
004220,False,False,True,20,37,1270
004230,False,True,True,23,54,870
004240,True,True,True,93,99,816
004250,False,True,True,0,300,879
004260,False,False,True,0,2,2291
004270,False,False,True,0,3,610
004280,False,False,True,0,4,652
004290,False,False,True,0,0,1112
004300,False,False,True,0,0,491
004310,False,False,True,0,0,483
004320,False,False,True,0,0,492
004330,False,False,True,0,0,617
004340,False,False,True,0,0,87
004350,False,False,True,0,0,300
004360,False,True,True,0,250,75
004370,False,False,True,0,0,79
004380,False,False,True,0,3,68
004390,False,False,True,0,2,81
004400,False,False,True,0,3,83
004410,False,False,True,0,2,90
004420,False,False,True,0,4,94
004430,False,False,True,0,3,92
004440,False,False,True,0,5,93
004450,False,False,True,0,9,93
004460,False,False,True,0,8,87
004470,False,False,True,0,20,101
004480,False,False,True,0,36,100
004490,False,True,True,0,79,108
004500,False,True,True,0,249,97
004510,False,True,True,0,965,70
004520,False,False,True,0,0,50
004530,False,False,True,0,0,56
004540,False,False,True,0,0,97
004550,False,False,True,0,0,245
004560,False,False,False,0,0,0
004570,False,False,True,9,7,326
004580,False,False,True,16,5,521
004590,False,False,True,25,6,259
004600,False,False,True,36,6,279
004610,True,False,True,63,12,504
004620,True,False,True,58,23,733
004630,True,False,True,79,11,949
004640,True,False,True,93,22,901
004650,True,False,True,125,22,858
004660,True,True,True,187,106,1057
004670,True,True,True,323,154,1310
004680,True,False,True,906,29,1854
004690,False,True,True,34,72,639
004700,False,True,True,34,97,487
004710,True,True,True,64,200,953
004720,True,True,True,47,52,421
004730,True,True,True,57,47,1035
004740,True,True,True,71,55,1841
004750,True,True,True,100,89,4217
004760,True,True,True,126,130,9874
004770,True,True,True,125,157,9885
004780,True,True,True,125,183,8004
004790,True,True,True,116,215,2713
004800,True,False,True,239,2,2199
004810,True,False,True,1035,3,2108
004820,True,False,True,97,3,1373
004830,True,False,True,157,4,777
004840,True,True,True,147,64,1310
004850,True,True,True,49,54,45
004860,True,True,True,102,86,61
004870,True,True,True,213,137,448
004880,True,True,True,379,166,109
004890,True,True,True,380,157,161
004900,True,True,True,380,185,165
004910,True,True,True,380,205,193
004920,True,True,True,380,213,184
004930,True,True,True,380,237,130
004940,True,True,True,380,243,630
004950,True,True,True,380,196,1700
004960,True,True,True,380,201,1822
004970,True,True,True,380,239,1821
004980,True,True,True,380,348,1588
004990,True,True,True,380,304,2212
005000,True,True,True,380,416,2880
005010,True,True,True,380,404,2336
005020,True,True,True,380,468,1809
005030,True,True,True,380,627,1368
005040,True,False,True,380,0,676
005050,True,False,True,380,0,357
005060,True,False,True,380,0,288
005070,True,False,True,380,0,233
005080,True,False,True,455,0,236
005090,True,False,True,1874,0,286
005100,False,False,True,28,0,326
005110,False,False,True,34,0,464
005120,True,False,True,177,0,995
005130,False,False,True,30,0,4073
005140,True,False,True,47,0,687
005150,True,False,True,48,0,1639
005160,True,False,True,59,0,2918
005170,True,False,True,98,0,9063
005180,True,False,True,111,0,12981
005190,True,False,True,113,0,15614
005200,True,False,True,113,0,12754
005210,True,False,True,113,0,12754
005220,True,False,True,113,0,12754
005230,True,False,True,113,0,12754
005240,True,False,True,113,0,12754
005250,True,False,True,113,0,12754
005260,True,False,True,113,0,12754
005270,True,False,True,113,0,12754
005280,True,False,True,113,0,12754
005290,True,False,True,113,0,12754
005300,True,False,True,113,0,12754
005310,True,False,True,113,0,12754
005320,True,False,True,113,0,12754
005330,True,False,True,113,0,12754
005340,True,False,True,113,0,12754
005350,True,False,True,113,0,12754
005360,True,False,True,113,0,12754
005370,True,False,True,113,0,12754
005380,True,False,True,113,0,12754
005390,True,False,True,113,0,12754
005400,True,False,True,114,0,9644
005410,True,False,True,115,0,4406
005420,True,False,True,193,0,4346
005430,True,False,True,402,0,4502
005440,True,False,True,1635,0,5183
005450,True,False,True,54,0,6237
005460,True,False,True,100,0,4442
005470,True,False,True,188,0,6637
005480,False,False,False,0,0,0
005490,False,False,True,0,0,1502
005500,False,False,True,0,0,482
005510,False,False,True,0,0,448
005520,False,False,True,0,0,408
005530,False,False,True,0,0,418
005540,False,False,True,0,0,451
005550,False,False,True,0,0,592
005560,False,False,True,0,0,1202
005570,False,False,True,0,0,898
005580,False,False,True,0,0,610
005590,False,False,True,0,0,780
005600,False,False,True,0,0,597
005610,False,False,True,0,0,1116
005620,False,False,True,0,0,2503
005630,False,False,False,0,0,0
005640,False,False,True,14,0,1022
005650,False,False,True,8,4,435
005660,False,False,True,23,5,989
005670,False,False,True,28,1,1147
005680,False,False,True,29,0,1441
005690,False,False,True,37,0,1722
005700,True,False,True,60,0,4037
005710,True,False,True,60,0,10526
005720,True,False,True,61,0,10559
005730,True,False,True,61,0,10559
005740,True,False,True,61,0,10559
005750,True,False,True,61,0,10559
005760,True,False,True,61,0,10559
005770,True,False,True,61,0,10559
005780,True,False,True,61,0,10559
005790,True,False,True,61,0,10559
005800,True,False,True,61,0,10559
005810,True,False,True,61,0,10559
005820,True,False,True,61,0,10559
005830,True,False,True,61,0,10559
005840,True,False,True,61,0,10559
005850,True,False,True,61,0,10559
005860,True,False,True,61,0,10559
005870,True,False,True,61,0,10559
005880,True,False,True,61,0,10617
005890,True,False,True,61,0,10632
005900,True,False,True,61,0,10632
005910,True,False,True,61,0,10748
005920,True,False,True,61,0,11805
005930,True,False,True,61,0,10559
005940,True,False,True,61,0,10559
005950,True,False,True,61,0,10559
005960,True,False,True,61,0,10559
005970,True,False,True,61,0,10559
005980,True,False,True,61,0,10559
005990,True,False,True,61,0,10559
006000,True,False,True,62,0,10250
006010,True,False,True,63,0,5576
006020,True,False,True,90,0,4659
006030,True,False,True,190,0,4712
006040,True,False,True,506,0,5745
006050,True,False,True,2530,0,6847
006060,False,False,True,33,10,5661
006070,True,False,True,59,10,7062
006080,True,False,True,73,3,1153
006090,False,True,True,21,61,959
006100,False,True,True,15,127,1014
006110,False,True,True,36,191,1072
006120,False,True,True,35,345,1510
006130,False,True,True,38,542,2631
006140,True,True,True,64,1062,8162
006150,True,True,True,65,1461,11349
006160,True,True,True,78,1382,5552
006170,True,False,True,95,0,4502
006180,True,False,True,218,0,4560
006190,True,False,True,544,0,3988
006200,True,False,True,428,0,4300
006210,True,False,True,127,0,5978
006220,True,False,True,200,8,1904
006230,True,False,True,219,0,844
006240,True,False,True,55,0,1102
006250,True,False,True,78,0,1932
006260,True,False,True,124,0,4611
006270,True,False,True,153,0,9290
006280,True,False,True,151,0,9296
006290,True,False,True,151,0,6331
006300,True,False,True,191,0,2142
006310,True,False,True,349,0,1804
006320,True,False,True,1122,2,1741
006330,True,False,True,79,1,1951
006340,True,False,False,128,0,27
006350,True,True,True,233,58,220
006360,False,False,True,30,15,157
006370,True,False,True,50,28,281
006380,True,False,True,95,33,470
006390,True,True,True,392,53,891
006400,True,False,True,501,35,940
006410,True,False,True,498,11,959
006420,True,False,True,498,18,827
006430,True,True,True,498,48,887
006440,True,False,True,498,38,940
006450,True,True,True,498,43,565
006460,True,True,False,498,46,0
006470,True,True,False,498,44,0
006480,True,True,False,498,44,0
006490,True,True,False,498,47,0
006500,True,True,False,498,45,0
006510,True,True,False,498,40,0
006520,True,True,False,498,48,0
006530,True,True,True,498,59,488
006540,True,False,True,498,1,761
006550,True,False,True,498,33,846
006560,True,True,True,498,49,1326
006570,True,True,True,498,52,8824
006580,True,True,False,498,56,0
006590,True,True,False,498,59,0
006600,True,False,False,498,0,0
006610,True,False,False,498,0,0
006620,True,False,False,498,0,0
006630,True,False,False,498,0,0
006640,True,False,False,498,0,0
006650,True,False,False,498,0,0
006660,True,False,False,498,0,0
006670,True,False,False,498,0,0
006680,True,False,False,498,0,0
006690,True,False,False,498,0,0
006700,True,False,False,498,0,0
006710,True,False,False,498,0,0
006720,True,False,False,498,0,0
006730,True,False,False,498,0,0
006740,True,False,False,506,0,0
006750,True,False,False,2568,0,0
006760,True,False,False,92,0,0
006770,True,False,False,162,0,0
006780,True,False,True,463,1,1535
006790,True,True,True,54,98,14125
006800,True,True,True,121,238,3085
006810,True,True,True,342,588,1657
006820,True,True,True,343,409,862
006830,True,True,True,343,359,1267
006840,True,True,True,343,276,5376
006850,True,True,True,343,163,11428
006860,True,True,True,343,202,5004
006870,True,True,True,343,159,4993
006880,True,True,True,343,133,4993
006890,True,True,True,343,113,4993
006900,True,True,True,343,100,5003
006910,True,True,True,343,54,5037
006920,True,True,True,343,71,210
006930,True,True,True,343,53,387
006940,True,True,True,343,51,1211
006950,True,True,True,343,47,10534
006960,True,True,True,343,44,204
006970,True,True,True,343,48,699
006980,True,True,True,343,47,1177
006990,True,False,True,343,37,3230
007000,True,False,False,343,37,0
007010,True,False,False,343,31,0
007020,True,False,False,343,32,0
007030,True,False,False,343,27,0
007040,True,False,False,341,24,0
007050,True,False,False,900,15,0
007060,True,False,False,94,36,0
007070,True,False,False,178,36,0
007080,True,False,False,54,38,0
007090,True,True,False,423,62,0
007100,False,True,False,0,349,0
007110,False,False,False,0,0,0
007120,False,False,False,0,0,0
007130,False,False,False,0,0,0
007140,False,False,False,0,0,0
007150,False,False,False,0,0,0
007160,False,False,False,2,0,6
007170,False,False,False,0,0,6
007180,False,False,True,3,0,878
007190,False,False,False,2,0,8
007200,False,False,False,5,0,9
007210,False,False,False,7,0,9
007220,False,False,True,8,0,44
007230,False,False,True,8,0,109
007240,False,False,True,20,0,104
007250,True,False,True,64,0,114
007260,True,False,True,172,0,128
007270,True,False,True,339,0,137
007280,True,False,True,339,0,188
007290,True,False,True,339,0,856
007300,True,False,True,339,0,811
007310,True,False,True,339,0,783
007320,True,False,True,339,0,1471
007330,True,False,True,339,0,1678
007340,True,False,True,339,0,2021
007350,True,False,True,339,0,11245
007360,True,False,True,339,0,1143
007370,True,False,True,339,0,1122
007380,True,False,True,339,0,1198
007390,True,False,True,339,0,1524
007400,True,False,True,339,0,3623
007410,True,False,True,339,0,1137
007420,True,False,True,339,0,1250
007430,True,False,True,338,0,1545
007440,True,False,True,339,0,3123
007450,True,False,True,339,0,13070
007460,True,False,True,339,0,872
007470,True,False,True,339,0,872
007480,True,False,True,339,0,872
007490,True,False,True,339,0,872
007500,True,False,True,492,0,961
007510,True,False,False,82,0,32
007520,True,False,False,138,0,0
007530,True,False,False,47,0,0
007540,True,False,False,368,0,0
007550,False,False,False,0,0,0
007560,False,False,False,0,0,0
007570,False,False,False,0,0,0
007580,False,False,False,0,0,0
007590,False,False,False,0,0,0
007600,False,False,True,9,4,328
007610,False,False,True,19,1,1364
007620,False,False,True,23,0,11438
007630,False,False,True,24,1,7283
007640,False,False,False,27,13,13
007650,False,False,False,24,7,8
007660,False,False,False,20,1,15
007670,True,False,False,56,0,32
007680,True,False,True,72,1,271
007690,True,False,True,148,1,552
007700,True,False,True,382,1,2007
007710,True,False,True,378,1,7506
007720,True,False,False,378,0,7
007730,True,False,False,378,0,8
007740,True,False,False,378,0,10
007750,True,False,False,378,2,12
007760,True,False,False,378,2,17
007770,True,False,False,378,1,25
007780,True,False,False,378,0,29
007790,True,False,False,378,0,30
007800,True,False,False,378,0,27
007810,True,False,False,378,0,35
007820,True,False,True,378,0,47
007830,True,False,True,378,0,57
007840,True,False,True,378,0,140
007850,True,False,True,378,0,202
007860,True,False,True,378,0,66
007870,True,False,False,378,0,0
007880,True,False,False,378,0,0
007890,True,False,False,378,0,0
007900,True,False,False,378,0,0
007910,True,False,True,378,0,190
007920,True,False,True,378,0,436
007930,True,False,True,378,0,420
007940,True,False,True,378,0,420
007950,True,False,True,411,0,350
007960,True,False,True,3913,0,483
007970,True,False,False,122,0,0
007980,True,False,False,175,0,0
007990,True,False,True,505,0,1728
008000,True,True,True,82,43,13175
008010,True,False,False,150,0,12
008020,True,False,False,540,3,0
008030,True,False,False,89,2,0
008040,True,False,False,154,1,0
008050,True,False,True,208,3,251
008060,True,True,True,43,74,2084
008070,True,True,True,91,132,9144
008080,True,True,True,137,205,885
008090,True,True,True,222,265,2749
008100,True,True,True,228,226,3900
008110,True,True,True,231,236,4014
008120,True,True,True,231,236,4757
008130,True,True,True,231,388,4613
008140,True,True,True,231,362,4644
008150,True,True,True,231,342,4679
008160,True,True,True,231,374,4722
008170,True,True,True,231,361,4637
008180,True,True,True,231,341,4450
008190,True,True,True,231,309,3959
008200,True,True,True,231,292,3862
008210,True,True,True,231,262,3822
008220,True,True,True,231,189,3788
008230,True,True,True,231,188,3801
008240,True,True,True,231,209,3808
008250,True,True,True,231,191,3331
008260,True,True,True,245,177,1252
008270,True,True,True,495,269,1343
008280,True,True,True,3227,265,1492
008290,False,True,True,27,400,901
008300,False,True,True,36,618,1166
008310,True,True,True,105,638,556
008320,False,True,True,9,1060,558
008330,False,True,True,6,1806,656
008340,False,True,True,9,1498,664
008350,False,True,True,6,1534,684
008360,False,True,True,8,1946,809
008370,False,True,True,8,1711,926
008380,False,True,True,4,2497,973
008390,False,True,True,4,4219,979
008400,False,True,True,9,817,989
008410,False,True,True,10,2348,3258
008420,False,False,False,12,36,30
008430,False,True,True,21,64,41
008440,False,True,True,31,107,53
008450,False,True,True,23,272,132
008460,True,False,True,79,0,636
008470,True,False,True,150,0,885
008480,True,False,True,418,0,1810
008490,True,False,True,415,0,9002
008500,True,False,False,415,0,35
008510,True,False,False,415,0,35
008520,True,False,False,415,0,35
008530,True,False,False,415,0,35
008540,True,False,False,415,0,35
008550,True,False,False,415,0,34
008560,True,False,False,415,0,34
008570,True,False,False,415,0,30
008580,True,False,False,415,0,27
008590,True,False,False,415,0,39
008600,True,False,False,415,0,22
008610,True,False,False,415,0,22
008620,True,False,False,415,0,25
008630,True,False,False,415,0,0
008640,True,False,False,415,0,0
008650,True,False,False,415,0,0
008660,True,False,False,415,0,0
008670,True,False,False,415,0,0
008680,True,False,False,415,0,0
008690,True,False,False,415,0,0
008700,True,False,False,414,0,0
008710,True,False,False,717,0,0
008720,False,False,False,24,0,0
008730,True,False,False,43,0,0
008740,True,False,True,57,0,64
008750,True,True,False,43,131,35
008760,True,True,True,62,221,189
008770,True,True,True,139,618,753
008780,True,True,True,423,41,1354
008790,True,False,True,432,37,3917
008800,True,False,True,431,38,1649
008810,True,False,True,431,0,2421
008820,True,True,True,429,40,13957
008830,True,True,True,431,580,651
008840,True,True,True,431,488,1909
008850,True,True,True,431,394,4430
008860,True,True,True,431,304,302
008870,True,True,True,431,287,596
008880,True,True,True,431,252,668
008890,True,True,True,431,223,390
008900,True,True,True,431,200,273
008910,True,True,True,431,194,273
008920,True,True,True,431,119,266
008930,True,True,True,431,102,288
008940,True,True,True,431,97,331
008950,True,True,True,431,87,995
008960,True,True,True,431,63,1545
008970,True,True,True,431,63,3148
008980,True,True,True,431,62,3164
008990,True,True,True,431,61,3193
